MutantID,Operator,Extra,POS_NEG,Class,Line,Original,Mutated,AST_NodeType,AST_Condition,MappingStatus
63,COR,<METHOD_INVOCATION(boolean)>,TRUE,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),461,16610,true,IfStatement,"MethodInvocation(arguments=[MemberReference(member=pfx, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[])], member=startsWith, postfix_operators=[], prefix_operators=[], qualifier=str, selectors=[], type_arguments=None)",Exact Match
64,STD,<ASSIGN>,<NO-OP>,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),462,16635,<NO-OP>,IfStatement,"MethodInvocation(arguments=[MemberReference(member=pfx, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[])], member=startsWith, postfix_operators=[], prefix_operators=[], qualifier=str, selectors=[], type_arguments=None)",Nearby Match (±1 lines)
65,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),466,16727,1,IfStatement,"BinaryOperation(operandl=MemberReference(member=pfxLen, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=[], qualifier=None, selectors=[], value=0), operator=>, prefix_operators=None)",Exact Match
66,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),466,16727,-1,IfStatement,"BinaryOperation(operandl=MemberReference(member=pfxLen, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=[], qualifier=None, selectors=[], value=0), operator=>, prefix_operators=None)",Exact Match
67,ROR,">(int,int)","!=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),466,16718,pfxLen != 0,IfStatement,"BinaryOperation(operandl=MemberReference(member=pfxLen, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=[], qualifier=None, selectors=[], value=0), operator=>, prefix_operators=None)",Exact Match
68,ROR,">(int,int)",">=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),466,16718,pfxLen >= 0,IfStatement,"BinaryOperation(operandl=MemberReference(member=pfxLen, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=[], qualifier=None, selectors=[], value=0), operator=>, prefix_operators=None)",Exact Match
69,ROR,">(int,int)","FALSE(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),466,16725,false,IfStatement,"BinaryOperation(operandl=MemberReference(member=pfxLen, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=[], qualifier=None, selectors=[], value=0), operator=>, prefix_operators=None)",Exact Match
70,AOR,"-(int,int)","%(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),467,16790,str.length() % pfxLen,IfStatement,"BinaryOperation(operandl=MemberReference(member=pfxLen, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=[], qualifier=None, selectors=[], value=0), operator=>, prefix_operators=None)",Nearby Match (±1 lines)
71,AOR,"-(int,int)","*(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),467,16790,str.length() * pfxLen,IfStatement,"BinaryOperation(operandl=MemberReference(member=pfxLen, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=[], qualifier=None, selectors=[], value=0), operator=>, prefix_operators=None)",Nearby Match (±1 lines)
72,AOR,"-(int,int)","+(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),467,16790,str.length() + pfxLen,IfStatement,"BinaryOperation(operandl=MemberReference(member=pfxLen, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=[], qualifier=None, selectors=[], value=0), operator=>, prefix_operators=None)",Nearby Match (±1 lines)
73,AOR,"-(int,int)","/(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),467,16790,str.length() / pfxLen,IfStatement,"BinaryOperation(operandl=MemberReference(member=pfxLen, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=[], qualifier=None, selectors=[], value=0), operator=>, prefix_operators=None)",Nearby Match (±1 lines)
74,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),468,16841,0,IfStatement,"BinaryOperation(operandl=MemberReference(member=hexDigits, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=[], qualifier=None, selectors=[], value=16), operator=>, prefix_operators=None)",Exact Match
75,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),468,16841,-16,IfStatement,"BinaryOperation(operandl=MemberReference(member=hexDigits, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=[], qualifier=None, selectors=[], value=16), operator=>, prefix_operators=None)",Exact Match
76,ROR,">(int,int)","!=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),468,16829,hexDigits != 16,IfStatement,"BinaryOperation(operandl=MemberReference(member=hexDigits, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=[], qualifier=None, selectors=[], value=16), operator=>, prefix_operators=None)",Exact Match
77,ROR,">(int,int)",">=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),468,16829,hexDigits >= 16,IfStatement,"BinaryOperation(operandl=MemberReference(member=hexDigits, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=[], qualifier=None, selectors=[], value=16), operator=>, prefix_operators=None)",Exact Match
78,ROR,">(int,int)","FALSE(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),468,16839,false,IfStatement,"BinaryOperation(operandl=MemberReference(member=hexDigits, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=[], qualifier=None, selectors=[], value=16), operator=>, prefix_operators=None)",Exact Match
79,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),471,16956,0,IfStatement,"BinaryOperation(operandl=MemberReference(member=hexDigits, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=[], qualifier=None, selectors=[], value=8), operator=>, prefix_operators=None)",Exact Match
80,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),471,16956,-8,IfStatement,"BinaryOperation(operandl=MemberReference(member=hexDigits, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=[], qualifier=None, selectors=[], value=8), operator=>, prefix_operators=None)",Exact Match
81,ROR,">(int,int)","!=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),471,16944,hexDigits != 8,IfStatement,"BinaryOperation(operandl=MemberReference(member=hexDigits, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=[], qualifier=None, selectors=[], value=8), operator=>, prefix_operators=None)",Exact Match
82,ROR,">(int,int)",">=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),471,16944,hexDigits >= 8,IfStatement,"BinaryOperation(operandl=MemberReference(member=hexDigits, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=[], qualifier=None, selectors=[], value=8), operator=>, prefix_operators=None)",Exact Match
83,ROR,">(int,int)","FALSE(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),471,16954,false,IfStatement,"BinaryOperation(operandl=MemberReference(member=hexDigits, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=[], qualifier=None, selectors=[], value=8), operator=>, prefix_operators=None)",Exact Match
84,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),476,17143,0,,,No Match Found
85,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),476,17143,-1,,,No Match Found
86,AOR,"-(int,int)","%(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),476,17128,str.length() % 1,,,No Match Found
87,AOR,"-(int,int)","*(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),476,17128,str.length() * 1,,,No Match Found
88,AOR,"-(int,int)","+(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),476,17128,str.length() + 1,,,No Match Found
89,AOR,"-(int,int)","/(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),476,17128,str.length() / 1,,,No Match Found
90,AOR,"+(int,int)","%(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),481,17280,str.indexOf('e') % str.indexOf('E'),,,No Match Found
91,AOR,"+(int,int)","*(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),481,17280,str.indexOf('e') * str.indexOf('E'),,,No Match Found
92,AOR,"+(int,int)","-(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),481,17280,str.indexOf('e') - str.indexOf('E'),,,No Match Found
93,AOR,"+(int,int)","/(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),481,17280,str.indexOf('e') / str.indexOf('E'),,,No Match Found
94,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),481,17318,0,,,No Match Found
95,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),481,17318,-1,,,No Match Found
96,AOR,"+(int,int)","%(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),481,17280,(str.indexOf('e') + str.indexOf('E')) % 1,,,No Match Found
97,AOR,"+(int,int)","*(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),481,17280,(str.indexOf('e') + str.indexOf('E')) * 1,,,No Match Found
98,AOR,"+(int,int)","-(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),481,17280,str.indexOf('e') + str.indexOf('E') - 1,,,No Match Found
99,AOR,"+(int,int)","/(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),481,17280,(str.indexOf('e') + str.indexOf('E')) / 1,,,No Match Found
100,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),485,17581,1,IfStatement,"BinaryOperation(operandl=MemberReference(member=decPos, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=['-'], qualifier=None, selectors=[], value=1), operator=>, prefix_operators=None)",Nearby Match (±1 lines)
101,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),485,17581,-1,IfStatement,"BinaryOperation(operandl=MemberReference(member=decPos, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=['-'], qualifier=None, selectors=[], value=1), operator=>, prefix_operators=None)",Nearby Match (±1 lines)
102,LVR,NEG,0,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),486,17644,0,IfStatement,"BinaryOperation(operandl=MemberReference(member=decPos, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=['-'], qualifier=None, selectors=[], value=1), operator=>, prefix_operators=None)",Exact Match
103,LVR,NEG,POS,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),486,17644,1,IfStatement,"BinaryOperation(operandl=MemberReference(member=decPos, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=['-'], qualifier=None, selectors=[], value=1), operator=>, prefix_operators=None)",Exact Match
104,ROR,">(int,int)","!=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),486,17635,decPos != -1,IfStatement,"BinaryOperation(operandl=MemberReference(member=decPos, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=['-'], qualifier=None, selectors=[], value=1), operator=>, prefix_operators=None)",Exact Match
105,ROR,">(int,int)",">=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),486,17635,decPos >= -1,IfStatement,"BinaryOperation(operandl=MemberReference(member=decPos, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=['-'], qualifier=None, selectors=[], value=1), operator=>, prefix_operators=None)",Exact Match
106,ROR,">(int,int)","FALSE(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),486,17642,false,IfStatement,"BinaryOperation(operandl=MemberReference(member=decPos, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=['-'], qualifier=None, selectors=[], value=1), operator=>, prefix_operators=None)",Exact Match
107,LVR,NEG,0,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),488,17704,0,IfStatement,"BinaryOperation(operandl=MemberReference(member=expPos, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=['-'], qualifier=None, selectors=[], value=1), operator=>, prefix_operators=None)",Exact Match
108,LVR,NEG,POS,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),488,17704,1,IfStatement,"BinaryOperation(operandl=MemberReference(member=expPos, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=['-'], qualifier=None, selectors=[], value=1), operator=>, prefix_operators=None)",Exact Match
109,ROR,">(int,int)","!=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),488,17695,expPos != -1,IfStatement,"BinaryOperation(operandl=MemberReference(member=expPos, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=['-'], qualifier=None, selectors=[], value=1), operator=>, prefix_operators=None)",Exact Match
110,ROR,">(int,int)",">=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),488,17695,expPos >= -1,IfStatement,"BinaryOperation(operandl=MemberReference(member=expPos, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=['-'], qualifier=None, selectors=[], value=1), operator=>, prefix_operators=None)",Exact Match
111,ROR,">(int,int)","FALSE(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),488,17702,false,IfStatement,"BinaryOperation(operandl=MemberReference(member=expPos, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=['-'], qualifier=None, selectors=[], value=1), operator=>, prefix_operators=None)",Exact Match
112,ROR,"<(int,int)","!=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),489,17754,expPos != decPos,IfStatement,"BinaryOperation(operandl=BinaryOperation(operandl=MemberReference(member=expPos, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=MemberReference(member=decPos, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operator=<, prefix_operators=None), operandr=BinaryOperation(operandl=MemberReference(member=expPos, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=MethodInvocation(arguments=[], member=length, postfix_operators=[], prefix_operators=[], qualifier=str, selectors=[], type_arguments=None), operator=>, prefix_operators=None), operator=||, prefix_operators=None)",Exact Match
113,ROR,"<(int,int)","<=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),489,17754,expPos <= decPos,IfStatement,"BinaryOperation(operandl=BinaryOperation(operandl=MemberReference(member=expPos, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=MemberReference(member=decPos, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operator=<, prefix_operators=None), operandr=BinaryOperation(operandl=MemberReference(member=expPos, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=MethodInvocation(arguments=[], member=length, postfix_operators=[], prefix_operators=[], qualifier=str, selectors=[], type_arguments=None), operator=>, prefix_operators=None), operator=||, prefix_operators=None)",Exact Match
114,ROR,"<(int,int)","FALSE(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),489,17761,false,IfStatement,"BinaryOperation(operandl=BinaryOperation(operandl=MemberReference(member=expPos, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=MemberReference(member=decPos, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operator=<, prefix_operators=None), operandr=BinaryOperation(operandl=MemberReference(member=expPos, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=MethodInvocation(arguments=[], member=length, postfix_operators=[], prefix_operators=[], qualifier=str, selectors=[], type_arguments=None), operator=>, prefix_operators=None), operator=||, prefix_operators=None)",Exact Match
115,ROR,">(int,int)","!=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),489,17773,expPos != str.length(),IfStatement,"BinaryOperation(operandl=BinaryOperation(operandl=MemberReference(member=expPos, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=MemberReference(member=decPos, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operator=<, prefix_operators=None), operandr=BinaryOperation(operandl=MemberReference(member=expPos, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=MethodInvocation(arguments=[], member=length, postfix_operators=[], prefix_operators=[], qualifier=str, selectors=[], type_arguments=None), operator=>, prefix_operators=None), operator=||, prefix_operators=None)",Exact Match
